id,district_id,name_en,postcode,latitude,longitude
1457,18,Kumbukkana,91098,6.81059500,81.30066680
1458,18,Marawa,91006,6.80900980,81.38118390
1459,18,Mariarawa,91052,6.96837810,81.47620430
1460,18,Medagana,91550,7.03447320,81.27600400
1461,18,Medawelagama,90518,7.03447320,81.27600400
1462,18,Miyanakandura,90584,6.89064540,81.34544170
1463,18,Monaragala,91000,6.89064540,81.34544170
1464,18,Moretuwegama,91108,6.89064540,81.34544170
1465,18,Nakkala,91003,6.88999620,81.29843090
1466,18,Namunukula,90580,6.87447870,81.11547030
1467,18,Nannapurawa,91519,7.08537010,81.25931330
1468,18,Nelliyadda,91042,7.38785580,81.41690930
1469,18,Nilgala,91508,7.19333790,81.39639010
1470,18,Obbegoda,91007,6.92507090,81.35408600
1471,18,Okkampitiya,91060,6.75003500,81.30761930
1472,18,Pangura,91002,6.97668660,81.32008930
1473,18,Pitakumbura,91505,7.17869360,81.29312200
1474,18,Randeniya,91204,6.80151990,81.11409120
1475,18,Ruwalwela,91056,6.86108030,81.33918040
1476,18,Sella Kataragama,91405,6.43732850,81.29867670
1477,18,Siyambalagune,91202,6.89064540,81.34544170
1478,18,Siyambalanduwa,91030,6.90646360,81.56101380
1479,18,Suriara,91306,6.89064540,81.34544170
1480,18,Thanamalwila,91300,6.43975480,81.13339680
1481,18,Uva Gangodagama,91054,7.01985990,81.43339230
1482,18,Uva Kudaoya,91298,6.53279710,81.17474980
1483,18,Uva Pelwatta,91112,6.74473370,81.19679580
1484,18,Warunagama,91198,6.73234260,81.13408620
1485,18,Wedikumbura,91005,6.89559920,81.23635890
1486,18,Weherayaya Handapanagala,91206,6.64359030,81.11825900
1487,18,Wellawaya,91200,6.73773560,81.10305730
1488,18,Wilaoya,91022,6.76778200,81.69721660
1489,18,Yudaganawa,51424,6.77425080,81.23511310
1490,19,Mullativu,42000,9.26709110,80.81424800
1491,20,Agarapathana,22094,6.86724310,80.71217540
1492,20,Ambatalawa,20686,7.05000000,80.66666690
1493,20,Ambewela,22216,6.87871950,80.81355580
1494,20,Bogawantalawa,22060,6.79723370,80.67569200
1495,20,Bopattalawa,22095,6.80901900,80.69590130
1496,20,Dagampitiya,20684,6.97747550,80.47436690
1497,20,Dayagama Bazaar,22096,6.85612990,80.74742610
1498,20,Dikoya,22050,6.87513130,80.60067720
1499,20,Doragala,20567,6.95627300,80.78471800
1500,20,Dunukedeniya,22002,6.99002820,80.63685390
1501,20,Egodawela,90013,6.96448360,80.76335990
1502,20,Ekiriya,20732,7.14825510,80.75435170
1503,20,Elamulla,20742,7.05668610,80.76843740
1504,20,Ginigathena,20680,6.98931710,80.49269330
1505,20,Gonakele,22226,6.98379580,80.75815850
1506,20,Haggala,22208,6.91868170,80.83103180
1507,20,Halgranoya,22240,7.00678340,80.86520380
1508,20,Hangarapitiya,22044,6.92040700,80.47255650
1509,20,Hapugasthalawa,20668,7.05781340,80.57300840
1510,20,Harasbedda,22262,7.06263870,80.88205350
1511,20,Hatton,22000,6.89221530,80.59857650
1512,20,Hewaheta,20440,7.11183660,80.76335630
1513,20,Hitigegama,22046,6.95060760,80.45768350
1514,20,Jangulla,90063,6.94971660,80.78910680
1515,20,Kalaganwatta,22282,7.10063900,80.89945790
1516,20,Kandapola,22220,7.00025120,80.81840100
1517,20,Karandagolla,20738,7.05701940,80.90072450
1518,20,Keerthi Bandarapura,22274,7.14589980,80.85300100
1519,20,Kiribathkumbura,20442,7.26962890,80.57571610
1520,20,Kotiyagala,91024,6.78550740,80.68539860
1521,20,Kotmale,20560,7.02230890,80.59105670
1522,20,Kottellena,22040,6.89316840,80.50216520
1523,20,Kumbalgamuwa,22272,7.11248390,80.84608220
1524,20,Kumbukwela,22246,7.05346520,80.88896920
1525,20,Kurupanawela,22252,7.01672620,80.91386080
1526,20,Labukele,20592,7.02431540,80.71909510
1527,20,Laxapana,22034,6.92475840,80.49104700
1528,20,Lindula,22090,6.90189800,80.67165240
1529,20,Madulla,22256,7.01944190,80.92130100
1530,20,Mandaram Nuwara,20744,7.04201080,80.77963130
1531,20,Maskeliya,22070,6.83292940,80.57092560
1532,20,Maswela,20566,7.06397370,80.63304790
1533,20,Maturata,20748,6.99108740,80.83380120
1534,20,Mipanawa,22254,6.97314000,80.76664000
1535,20,Mipilimana,22214,6.93045680,80.77963130
1536,20,Morahenagama,22036,6.94575120,80.47992730
1537,20,Munwatta,20752,7.11578960,80.81147920
1538,20,Nayapana Janapadaya,20568,7.06653840,80.60653300
1539,20,Nildandahinna,22280,7.08011970,80.89173530
1540,20,Nissanka Uyana,22075,6.94971660,80.78910680
1541,20,Norwood,22058,6.83842070,80.61465240
1542,20,Nuwara Eliya,22200,6.94795810,80.78851030
1543,20,Padiyapelella,20750,7.09357490,80.79832620
1544,20,Pallebowala,20734,7.15150470,80.73391440
1545,20,Panvila,20830,7.40042080,80.73290790
1546,20,Pitawala,20682,6.99836950,80.45768350
1547,20,Pundaluoya,22120,7.01312780,80.66321030
1548,20,Ramboda,20590,7.05654680,80.69384740
1549,20,Rikillagaskada,20730,7.14865160,80.79071030
1550,20,Rozella,22008,6.92768270,80.55854600
1551,20,Rupaha,22245,7.03225930,80.90432340
1552,20,Ruwaneliya,22212,6.94208920,80.77681290
1553,20,Santhipura,22202,6.97894530,80.74777080
1554,20,Talawakele,22100,6.93879140,80.66321030
1555,20,Tawalantenna,20838,7.07068220,80.68401210
1556,20,Teripeha,22287,7.11404420,80.91442850
1557,20,Udamadura,22285,7.09657370,80.91662600
1558,20,Udapussallawa,22250,7.01271230,80.91247810
1559,20,Uva Deegalla,90062,6.94971660,80.78910680
1560,20,Uva Uduwara,90061,6.93044210,81.05614580
1561,20,Uvaparanagama,90230,6.94971660,80.78910680
1562,20,Walapane,22270,7.10216630,80.86268640
1563,20,Watawala,22010,6.94494680,80.53898340
1564,20,Widulipura,22032,6.90940570,80.51883960
1565,20,Wijebahukanda,22018,6.94971660,80.78910680
1566,21,Attanakadawala,51235,7.93309540,80.87029550
1567,21,Bakamuna,51250,7.78060200,80.81840100
1568,21,Diyabeduma,51225,7.92974320,80.87098720
1569,21,Elahera,51258,7.73438700,80.79347980
